AGM000005,开户日期,Account opening date
PRD000157,卡片等级代码,Bank card level code
PRD000158,对外担保类型代码,External guarantee type code
PRD000159,受益人类型代码,Beneficiary type code
PRD000160,保兑费收取方式代码,Confirmation fee collection type code
PRD000161,承兑费收取方式代码,Acceptance fee collection type code
PRD000162,交单期,Period for presentation
PRD000163,进出口信用证大类代码,Category of import and export credit
PRD000164,保兑标志,Confirmed flag
PRD000165,信用证开设方式代码,Letter of credit opening type code
PRD000166,信用证期限类型代码,Letter of credit term type code
PRD000167,信用证循环方式代码,Credit cycle type code
PRD000168,信用证兑付方式分类代码,Credit payment type code
PRD000169,信用证到期地点,Letter of credit maturity address
PRD000170,可转让标志,Letter of credit transferable flag
PRD000171,银行有无货权标志,Cargo handling rights flag
PRD000184,手续费收费方式代码,Handling fee method
PRD000185,复利利率,Compound interest rates
PRD000186,复利利率调整方式代码,Compound interest rate adjustment
PRD000187,复利利率调整周期代码,Compound interest rate adjustment cycle
PRD000188,复利利率浮动方式代码,The way compound interest rates float
PRD000189,复利利率浮动值,Floating value of compound interest rate
PRD000190,复利利率年月代码,Year/month symbol of compound interest rate
PRD000191,挪用罚息利率定价基准,Misappropriation of penalty rate pricing benchmark
PRD000192,挪用利率罚息利率增量,Misappropriate floating value of penalty interest rate
PRD000193,逾期利率定价基准,Overdue interest rate pricing benchmark
PRD000194,最低利率,The lowest Interest Rate
PRD000195,最高利率,The highest interest rate
PRD000196,应收账款情况说明,Accounts receivable description
PRD000197,租赁物折旧率,Depreciation rate of leases
PRD000198,租赁物折旧期限,The lease depreciation period
PRD000199,借新还旧标志,Return old signs with new ones
PRD000200,缩期最大次数,Max number of shrinkage periods
PRD000201,续贷标志,Renew loans marks
PRD000202,允许担保变更标志,Warranty change marks are allowed
PRD000203,允许还款计划变更标志,Allow repayment plan change sign
PRD000204,允许缩期标志,Allowed the shrinkage issue
PRD000205,允许提前还款标志,Allow prepayment sign
PRD000206,允许提前还款次数,Number of prepayments allowed
PRD000207,允许延期标志,Adjournment mark
PRD000208,允许展期标志,Extension sign allowed
PRD000209,债务重组标志,Debt restructuring symbol
PRD000210,最大担保变更次数,Maximum number of guaranteed changes
PRD000211,最大还款计划变更次数,Max number of repayment plan changes
PRD000212,最大借新还旧次数,Max number of loan and return times
PRD000213,最大收回续贷次数,Max number of resumptions
PRD000214,最大延期次数,Max number of delays
PRD000215,最大重组次数,Max number of recombination
PRD000216,其他增信方式代码,Other means of credit enhancement
PRD000217,额度使用有效期限,The validity period of the quota
PRD000218,获批额度延期次数,Times of postponements approved quato
PRD000219,获批额度延期期限,Extension period of approved quota
PRD000220,获批额度有效期,Validity period of approved quato
PRD000221,授信额度上限,Credit limit of product
PRD000222,再次授信申请时限间隔,Time interval for re-credence applications
PRD000223,预授信额度,Pre-credit line
PRD000224,预授信额度期限,Term of pre-credit line
PRD000225,放款金额,The amount of the loan
PRD000226,放款比例,The proportion of the loan
PRD000227,放款类型代码,Loan type
PRD000228,放款日规则代码,Loan date rules
PRD000229,放款有效期限,Loan term
PRD000230,还款日确定方式代码,Method of determining repayment date
PRD000231,每次最大金额,Max amount at a time
PRD000232,每次最小金额,Min amount at a time
PRD000233,起息日确定方式代码,Method of determining the starting date
PRD000234,周期性放款标志,Periodic loan symbol
PRD000235,自动放款标志,Automatic loan sign
PRD000236,最大放款金额,Max loan amount
PRD000237,最小放款金额,Min loan amount
PRD000238,发票代码,Invoice code
PRD000239,发票编号,Invoice no.
PRD000240,发票金额,The invoice amount
PRD000241,开票日期,Make out an invoice date
PRD000242,贸易合同编号,Trade Contract No.
PRD000243,签发方,Name of Issuing Party
PRD000244,融资利率,Interest rate
PRD000245,收票方,Name of the consignee
PRD000246,有无追索权标志,The right of recourse or not
PRD000247,订单编号,The order no.
PRD000248,订单金额,The amount of order
PRD000249,订单状态代码,The order status
PRD000250,额度占用方,Account holder
PRD000251,发货详情,The delivery details
PRD000252,核心企业名称,Name of Core enterprise
PRD000253,计量单位代码,Measurement unit
PRD000254,融资客户名称,Name of Financing Client
PRD000255,商品编号,Product id
PRD000256,商品单价,Commodity price
PRD000257,商品规格,Product specifications
PRD000258,生产厂家,The manufacturer
PRD000259,预付款比例,Proportion of advance payment
PRD000260,最迟发货日期,Latest delivery date
PRD000261,生效日期,effective date
PRD000262,失效日期,Expiry date
PRD000263,贷款还款优先级顺序代码,Loan repayment priority order
PRD000264,减值贷款还款类型顺序代码,Impairment loan repayment type order
PRD000265,内部账户还款标志,Internal account repayment
PRD000266,批扣不足额扣款方式代码,Not full specified amount Deductions way
PRD000267,欠息时减少额度标志,Whether to reduce the amount when owe interest
PRD000268,提前还款调整方式代码,Prepayment adjustment method
PRD000269,提前还款锁定期,Prepayment lockup period
PRD000270,提前还款最低金额,The minimum amount of prepayment
PRD000271,提前还款最低金额规则代码,Minimum prepayment rule
PRD000272,提前还款最高金额,The maximum amount of prepayment is set
PRD000273,提前还款最高金额规则代码,Prepayment maximum rule
PRD000274,逾期自动补扣频率代码,Overdue automatic deduction frequency
PRD000275,允许行外同名账户还款标志,Allow repayment of the account of the same name outside the bank
PRD000276,允许行内非同名账户还款标志,Allow the line of non-namesake account repayment
PRD000277,允许行内同名账户还款标志,Allow line account of the same name repayment
PRD000278,正常贷款还款类型顺序代码,Normal loan repayment type order
PRD000280,借款合同种类代码,Loan contract types
PRD000281,其他合同种类代码,Other contract types
PRD000282,最短单笔借据期限,Minimum single IOU period
PRD000283,最长单笔借据期限,Maximum single IOU term
PRD000284,按期纳税比例,Rate of regular tax payment
PRD000285,账户有效流水金额,The amount of current account in force
PRD000286,贴息标志,interest subsidy mark
PRD000287,本地资产标志,Local asset mark
PRD000288,借款人最高逾期金额,Maximum overdue amount
PRD000289,近三年经营净现金流量,Operating net cash flow in the past three years
PRD000290,客户评级最低准入标准代码,Minimum access standard for customer rating
PRD000291,纳税等级代码,Tax Brackets
PRD000292,企业净资产下限,Lower limit of enterprise net assets
PRD000293,允许本行员工标志,Whether to allow employees of the bank
PRD000294,销售收入下限,Lower limit of sales revenue
PRD000296,自有资金比例,Proportion of self-owned capital
PRD000297,保险赔偿金额,Amount of vehicle insurance compensation
PRD000298,车贷贷款发放账号,Vehicle loan account number
PRD000299,车队名称,motorcade name
PRD000300,车辆识别代号,Frame No
PRD000301,车辆保险标志,Vehicle insurance mark
PRD000302,车辆保险险种代码,Vehicle insurance type
PRD000303,车辆产地,Vehicle place
PRD000304,车辆的保单编号,Insurance policy no. of the vehicle
PRD000305,车辆的保险公司,The vehicle's insurance company
PRD000306,车辆购买合同编号,Automobile purchase Contract Number
PRD000307,车辆购置价格,Vehicle purchase price
PRD000308,车辆购置税发票,Vehicle purchase tax invoice
PRD000309,车辆级别代码,Vehicle level
PRD000310,车辆交易代码,Time of car transactions
PRD000311,车辆进口标志,Vehicle entry mark
PRD000312,车辆类型代码,Vehicle type
PRD000313,车辆能源类型代码,Vehicle energy type
PRD000314,车辆品牌,Vehicle brand
PRD000315,车辆生产日期,Vehicle production date
PRD000316,车辆首次使用时间,First use time of the vehicle
PRD000317,车辆首付比例,Vehicle down payment proportion
PRD000318,车辆首付金额,Vehicle down payment
PRD000319,车辆型号,Vehicle model
PRD000320,车辆颜色,Vehicle color
PRD000321,车辆已用年限,Vehicle used  age
PRD000322,车辆用途代码,vehicular applications
PRD000323,贷款成数,Loan percentage
PRD000325,购车发票,Vehicle invoice
PRD000326,购车人驾照编号,Driver's license No. of the buyer
PRD000327,购车数量,Number of vehicles purchased
PRD000328,合格证编号,Qualified No
PRD000329,环保标准代码,Environmental protection standard
PRD000330,机动车登记证编号,Vehicle registration  No
PRD000331,卖车人名称,Car seller name
PRD000332,卖车人证件编号,ID number of Car seller
PRD000333,商用车营运资格种类代码,Types of commercial vehicle operation qualifications
PRD000334,商用车运营资格年检标志,Commercial vehicle operation qualification annual inspection mark
PRD000335,市场合作方标志,Copartner identification
PRD000336,挂靠车队标志,belongs to the motorcade or not
PRD000337,销售商担保标志,Sales guarantees or not
PRD000338,销售商名称,Sales name
PRD000339,有无共同申请人标志,Co applicant or not
PRD000352,地方融资平台偿债资金来源代码,Source of Local Government Financing
PRD000353,地方融资平台类型代码,Local Government Financing Platform type
PRD000354,产品状态代码,Croduct status
PRD000356,贷款基准利率,Benchmark interest rate for loan
PRD000357,贷款年利率,Loan annual interest rate
PRD000358,贷款月度利率,Monthly loan interest rate
PRD000359,浮动BP点,Floating BP point
PRD000360,市场报价利率,Market rate
PRD000361,重定价日期,Repricing day
PRD000362,重定价周期代码,Repricing cycle
PRD000363,收费事件类型代码,Type of charging event
PRD000364,年月日利率代码,Year/month/date interest rate symbol
PRD000365,到期日确定方式代码,The method of determining the due date
PRD000366,放款周期代码,Loan period
PRD000367,产品对象代码,Product object
PRD000368,产品类别代码,product type
PRD000369,卖车人证件类型代码,Car seller ID certificate type
PRD000370,房产用途代码,Property use
PRD000372,贷款定价基准利率类型代码,Loan pricing benchmark interest rate type
PRD000454,适配利息调整金额,Adaptive interest adjustment amount
PRD000455,授权用户名称,Authorized User Name
PRD000456,利息计提选项代码,Interest accrual option
PRD000459,对账单摘要,Statement Summary
PRD000467,表外业务标志,Whether Off-Balance Sheet Business
PRD000468,表内表外利息金额,Interest Amount On Off Balance Sheet
PRD000469,债权接回标志,Whether take back claim
PRD000497,额度期限单位代码,Limit Deadline Unit
PRD000598,客户编号,/
PRD000659,限额控制方式代码,Control method of credit line
PRD000661,正常余额,Normal balance
PRD000673,复利金额,Compound interest amount
PRD000675,总行资产保全部监督标志,Whether the head office asset insurance all supervision
PRD000678,跨机构管理不良资产标志,Whether Inter-Institution manage bad assets
PRD000679,表内罚息金额,Penalty Interest Amount On Balance Sheet
PRD000683,机动车保险单编号,Motor car Insurance Bill No.
PRD000693,被引用标志,Referenced or not
PRD000697,出账阶段决策流程编号,Decision Process Code Payment Stage
PRD000698,申请阶段决策流程编号,Decision process code application stage
PRD000699,合同阶段决策流程编号,Decision process coding contract stage
PRD000701,参数区间最小值,minimum value of parameter interval
PRD000702,主动属性,Active attribute
PRD000703,主动属性逻辑内容,Active attribute logic content
PRD000704,主动属性逻辑符,Active attribute logic symbol
PRD000707,原贷款证编号,Original loan certificate No
PRD001651,派单时效,Send order Time limit
PRD001838,保险合同编号,Contract number
PRD002526,最高可借多少万元,/
PRD002558,人工合同签约渠道代码,Product contracting channels
PRD002559,自动合同签约渠道代码,Product contracting channels
PRD002573,限额使用方式代码,Control method of credit line
PTY000002,个人开户日期,personal customer account opening date
PTY000004,个人客户主办机构编号,personal customer host bank
PTY000005,个人客户主办客户经理编号,personal customer manager
PTY000007,个人拼音名称,personal customer Pinyin name
PTY000008,称谓代码,personal customer appellation
PTY000009,个人证件类型代码,personal customer ID certificate type
PTY000010,个人证件编号,personal customer ID certificate number
PTY000011,身份证编号,personal customer ID card number
PTY000012,身份证签发日期,personal customer ID card issuing date
PTY000013,身份证到期日期,personal customer ID card due date
PTY000014,证件签发机关所在地行政区划,The administrative division where the certificate issuing authority is located
PTY000015,户籍地行政区划码代码,Census register code
PTY000016,性别代码,gender
PTY000018,客户民族代码,ethnic group
PTY000020,客户年龄,age
PTY000021,政治面貌代码,political status
PTY000023,从业状况代码,employment status
PTY000025,户籍地址区域名称代码,The household registration address district
PTY000026,户口性质代码,Household register
PTY000027,居民户类型代码,personal customer resident type
PTY000028,家庭成员人数,personal customer number of family members
PTY000029,工作单位在我行客户编号,work unit customer number
PTY000030,工作单位名称,work unit name
PTY000031,任职部门名称,depertment
PTY000032,职业代码,professional
PTY000034,公职人员标志,public officer flag
PTY000035,工作单位所属行业代码,industry of work unit
PTY000036,工作单位性质代码,work unit property
PTY000037,个人客户黑名单标志,personal customer blacklist flag
PTY000038,个体工商户标志,self employed people flag
PTY000039,农户标志,farmer flag
PTY000040,农户当地信用环境代码,farmer local credit
PTY000041,农户社会评价（村委会评价）代码,farmer social evaluation
PTY000043,最高学位代码,highest degree
PTY000044,个人联系地址类型代码,personal customer contact address type
PTY000045,个人联系地址国家/地区代码,Individual Customer contact address country/region
PTY000046,个人联系地址省/自治区/直辖市代码,Individual Customer contact address province/autonomous region
PTY000047,个人联系地址市/自治州代码,Individual Customercontact address city/automonous prefecture
PTY000048,个人联系地址区/县代码,Individual Customer contact address district/county
PTY000050,个人联系地址详细地址,personal customer detailed contact address
PTY000051,主要联系地址标志,main contact address flag
PTY000052,个人电话类型代码,personal customer phone type
PTY000053,个人国际长途区号,personal customer international phone code
PTY000054,个人国内长途区号,personal customer domestic phone code
PTY000055,个人电话号码,personal customer phone number
PTY000056,个人电话分机号,personal customer phone extension number
PTY000057,个人主要联系电话标志,personal customer main phone flag
PTY000058,个人互联网地址类型代码,personal customer internet address type
PTY000059,个人互联网地址信息,personal customer internet address
PTY000060,关联人关系类型代码,personal customer related person relationship type
PTY000061,关联人名称,personal customer related person name
PTY000062,关联人证件类型代码,personal customer related person ID certificate type
PTY000063,关联人证件编号,personal customer related person ID certificate number
PTY000064,关联人在我行客户编号,personal customer related person customer number
PTY000065,关联人工作单位在我行客户编号,personal customer related person work unit customer number
PTY000066,关联人工作单位全称,personal customer related person work unit name
PTY000067,关联人工作单位证件类型代码,personal customer related person work unit ID certificate type
PTY000068,关联人工作单位证件编号,personal customer related person work unit ID certificate number
PTY000069,关联人手机号码,personal customer phone number
PTY000070,个人收入来源代码,personal customer income source
PTY000071,个人年收入,personal customer annual income
PTY000072,居住状况代码,residential status
PTY000073,拥有房产面积,real estate area
PTY000074,拥有房产套数,amount of real estate
PTY000075,个人总资产,personal customer total assets
PTY000076,个人总负债,personal customer liabilities
PTY000077,家庭总资产,personal customer total family assets
PTY000078,家庭总负债,personal customer total family liabilities
PTY000079,家庭主要收入来源代码,personal customer main family income source
PTY000080,有无社会保险标志,hold social insurance flag
PTY000081,农户房产原始价值,farmer real estate original value
PTY000082,房产市场价值,Real estate market value
PTY000083,个人客户分层结果代码,personal customer classification result
PTY000084,个人客户分层评定日期,personal customer classification evaluate date
PTY000085,客户风险偏好代码,personal customer risk preference
PTY000086,个人客户风险预警机构,personal customer risk early warning mechanism
PTY000087,个人客户风险预警类别代码,personal customer risk early warning type
PTY000088,个人客户风险预警开始日期,personal customer risk early warning start date
PTY000089,个人客户风险预警解除日期,personal customer risk early warning end date
PTY000090,个人事件编号,personal customer important events number
PTY000091,个人事件名称,personal customer important events name
PTY000092,个人事件涉及金额,personal customer important events amount of money
PTY000093,个人事件描述及原因,personal customer important events discription
PTY000094,个人事件登记人员员工编号,personal customer important events registration staff employee number
PTY000095,个人客户授信额度,personal customer line of credit
PTY000096,个人客户授信额度生效日期,personal customer line of credit start date
PTY000097,个人客户授信额度到期日期,personal customer line of credit end date
PTY000098,个人客户已用授信额度,personal customer has been used line of credit
PTY000099,个人客户剩余授信额度,personal customer remaining of line of credit
PTY000100,个人客户违约认定时间,personal customer default time
PTY000101,个人客户违约币种代码,personal customer default currency
PTY000102,个人客户违约金额,personal customer default value
PTY000103,个人客户申请评分结果,personal customer first credit score
PTY000104,个人客户内部评级有效起始日期,personal customer internal rating start date
PTY000105,个人客户内部评级有效终止日期,personal customer internal rating end date
PTY000106,代发工资客户标志,personal customer payroll credit client flag
PTY000107,个人网银签约客户标志,personal customer online banking client flag
PTY000108,个人手机银行签约客户标志,personal customer mobile banking client flag
PTY000109,个人微信银行绑卡客户标志,personal customer wechat banking client flag
PTY000110,个人客户开户时长,personal customer length of account opening
PTY000113,组织开户日期,orgnization customer account opening date
PTY000115,组织客户主办机构编号,orgnization customer host bank
PTY000116,组织客户主办客户经理编号,orgnization customer manager
PTY000117,组织客户名称,orgnization customer name
PTY000118,组织英文全称,orgnization customer english name
PTY000120,企业出资人经济成分代码,economic composition of enterprise investor
PTY000121,组织证件类型代码,organization customer ID certificate type
PTY000122,组织证件编号,orgnization customer ID certificate number
PTY000123,组织机构编号,orgnization code
PTY000125,地税登记证编号,local tax number
PTY000126,国税登记证编号,China tax number
PTY000127,统一社会信用代码,Unified social credit code
PTY000128,营业执照签发日期,business license issuing date
PTY000132,兼营业务,orgnization customer sideline
PTY000133,注册资本币种代码,organization customer registered capital currency
PTY000137,组织机构类型代码,organization type
PTY000138,企业登记注册类型代码,enterprise registration type
PTY000139,企业注册地国家/地区代码,Enterprise registration address country/region
PTY000140,企业注册地省/自治区/直辖市代码,Enterprise registration address province/autonomous region
PTY000141,企业注册地市/自治州代码,Enterprise registration address city/automonous prefecture
PTY000144,开户许可证编号,account opening license number
PTY000145,金融机构编号,financial institution number
PTY000147,保险业务许可证编号,insurance business license number
PTY000148,证券业务许可证编号,securities business license number
PTY000149,CNAPS银行编号,CNAPS number
PTY000150,机构信用代码证编号,institution credit code number
PTY000153,企业规模代码,enterprise scale(MIIT)
PTY000154,我行基本户标志,basic account flag
PTY000155,基本户开户银行,bank of basic account
PTY000156,本行基本户账号,basic account number
PTY000157,金融机构标志,financial institution flag
PTY000158,组织客户本行股东标志,orgnization customer our shareholder flag
PTY000159,集团客户标志,enterprise customer flag
PTY000161,SPV标志,SPV flag
PTY000162,本行小微客户标志,our micro&small business flag
PTY000163,监管小微客户标志,supervision micro&small business flag
PTY000164,组织客户黑名单标志,orgnization customer blacklist flag
PTY000165,组织联系地址类型代码,personal customer contact address type
PTY000166,组织联系地址国家/地区代码,organization account contact address country/region
PTY000167,组织联系地址省/自治区/直辖市代码,organization customer contact address province/autonomous region
PTY000168,组织联系地址市/自治州代码,organization customer contact address city/automonous prefecture
PTY000169,组织联系地址区/县代码,organization customer contact address district/county
PTY000171,组织联系地址详细地址,orgnization customer detailed contact address
PTY000172,组织电话类型代码,organization customer phone type
PTY000173,组织国际长途区号,orgnization customer inernational phone code
PTY000174,组织国内长途区号,orgnization customer domestic phone code
PTY000175,组织电话号码,orgnization customer phone number
PTY000176,组织电话分机号,orgnization customer phone extension number
PTY000177,关联企业名称,orgnization customer related person name
PTY000178,关联企业关系开始日期,orgnization customer relationship starting date
PTY000179,关联企业关系结束日期,orgnization customer relationship end date
PTY000180,关联企业关系类型代码,organization customer relationship type
PTY000181,关联企业注册资金币种代码,organization customer related enterprise registered capital currency
PTY000182,关联企业在我行客户编号,orgnization customer related enterprise customer number
PTY000183,关联企业营业执照编号,orgnization customer related enterprise business license number
PTY000184,股东名称,orgnization customer shareholder name
PTY000185,股东类型代码,organization customer shareholder type
PTY000187,股东出资币种代码,organization customer shareholder investment currency
PTY000188,股东出资方式代码,organization customer shareholder form of contribution
PTY000189,股东出资金额,orgniazation customer shareholder contribution
PTY000190,股东证件类型代码,organization customer shareholder ID certificate type
PTY000191,股东证件编号,orgniazation customer shareholder ID certificate number
PTY000192,股东在我行客户编号,orgnization customer shareholder customer number
PTY000193,对外投资企业名称,orgnization customer investee name
PTY000194,对外投资持股比例,External Investment shareholding ratio
PTY000195,对外投资出资方式代码,organization customer form of investment
PTY000196,对外投资出资金额,Amount of investment
PTY000197,对外投资出资金额币种代码,organization customer investment currency
PTY000198,对外投资企业在我行客户编号,orgnization customer investee customer number
PTY000199,组织客户重要关联人关系类型代码,organization customer key stakeholder relationship type
PTY000200,组织客户重要关联人中文名,orgnization customer key stakeholder Chinese name
PTY000201,组织客户重要关联人联系信息,orgnization customer key stakeholder contact information
PTY000202,组织客户重要关联人客户编号,orgnization customer key stakeholder customer number
PTY000203,被担保人名称,warrantee name
PTY000204,被担保人组织机构代码,warrantee orgnization code
PTY000205,与被担保人关系类型代码,relationship type with warrantee
PTY000206,被担保人在我行客户编号,warrantee customer number
PTY000207,担保人名称,warranter name
PTY000208,与担保人关系类型代码,relationship type with warranter
PTY000209,担保人在我行客户编号,warranter customer number
PTY000210,担保人组织机构代码,warranter orgnization code
PTY000211,财务报表类型代码,financial statement type
PTY000212,经营性现金净流量,net cash flow from operating
PTY000213,净利润,net margin
PTY000214,现金流量净额,net cash flow
PTY000215,利润总额,total profit
PTY000216,利息保障倍数,times interest earned
PTY000217,流动比率,current ratio
PTY000219,速动比率,quick ratio
PTY000220,所有者权益,owners equity
PTY000222,应收账款周转率,receivable turnover
PTY000223,资产负债率,asset-liability ratio
PTY000226,存货,inventory
PTY000228,上市地点代码,listing location
PTY000229,上市日期,listing date
PTY000230,组织客户外部评级结果代码,organization customer external rating results
PTY000231,组织客户外部评级有效起始日期,external rating results starting date
PTY000232,组织客户外部评级有效终止日期,external rating results end date
PTY000233,违约客户标志,default customer flag
PTY000235,组织客户内部评级有效起始日期,orgnization customer internal rating results starting date
PTY000236,组织客户内部评级有效终止日期,orgnization customer internal rating results end date
PTY000237,外部评级机构代码,organization customer external rating agencies code
PTY000238,组织事件编号,orgnization customer important events number
PTY000239,组织事件名称,orgnization customer important events name
PTY000240,组织事件涉及金额,orgnization customer important events amount of money
PTY000241,组织事件描述及原因,orgnization customer important events discription
PTY000242,组织事件登记人员员工编号,orgnization customer important events registration staff employee number
PTY000243,组织客户授信额度,orgnization customer line of credit
PTY000244,组织授信额度生效日期,orgnization customer line of credit start date
PTY000245,组织授信额度到期日期,orgnization customer line of credit end date
PTY000247,企业网银签约客户标志,orgnization customer online banking client flag
PTY000248,企业手机银行签约客户标志,orgnization customer mobile banking client flag
PTY000250,个人健康生理信息,Personal health physiological information
PTY000253,新市民标志,New citizens Indicator
PTY000259,异地企业标志,Organization customer at another place logo
PTY000262,与核心企业合作年限,Years of cooperation with core enterprises
PTY000263,与核心企业合作情况,Cooperation with core enterprises
PTY000264,审计意见代码,audit opinions
PTY000265,合作协议编号,Cooperative Agreement number
PTY000266,合作协议名称,Name of the Cooperation Agreement
PTY000267,担保放大倍数,gur the magnification
PTY000268,保证金账户账户名称,Margin account username
PTY000269,单户最高担保额度,Single family maximum gur quato
PTY000270,在保责任余额,Balance in insurance liability
PTY000271,本金赔付比例,Principal pay scale
PTY000272,担保代偿累计,Cumulative amount of compensation
PTY000273,应代偿未代偿金额,Unreimbursed Amount
PTY000274,合作起始日期,Effective date of the cooperation
PTY000275,合作结束日期,Due date of the cooperation
PTY000276,代理销售汽车合同编号,Agency sales contract number
PTY000277,汽车销售许可证编号,dealer car sales license
PTY000278,楼盘坐落位置,Location of the building
PTY000279,楼盘占地总面积,The total area of the building
PTY000280,楼盘住宅面积,residential area of the property
PTY000281,套数,Real estate
PTY000282,楼盘商业面积,commercial area of the property
PTY000283,楼盘地下车位面积,Building underground parking area
PTY000284,楼盘栋数,The number of buildings
PTY000285,楼盘平均售价,Average price
PTY000286,楼盘预计总收入,Estimated total revenue
PTY000287,楼盘投资总额,The total amount of investment
PTY000288,规划用途代码,Programming use
PTY000289,项目编号,Project Number
PTY000290,合作额度,Cooperation quota
PTY000291,保证金担保放大倍数,Magnification of margin gur
PTY000292,合作额度占用额,Used occupancy of cooperation quota
PTY000293,剩余可使用合作额度,The remainder of cooperation quota
PTY000294,合作产品名称代码,Cooperation product name
PTY000295,风险分摊标志,Risk allocation or not
PTY000296,风险分摊账户名称,Name of the risk allocation account
PTY000297,风险分摊账号,Risk allocation account number
PTY000298,风险分摊比例,Risk allocation ratio
PTY000299,异地客户标志,Local customer or not
PTY000300,本地居住时间（年）,Local residence date
PTY000301,健康状况代码,Health Situation
PTY000302,最高学历院校,Degree obtaining institution
PTY000303,毕业时间,Degree acquisition date
PTY000304,自雇者/他雇者标识代码,Self-employees or not
PTY000305,本行员工标志,Employee of the bank or not
PTY000307,本行股东标志,Shareholders of the bank or not
PTY000308,本行关系人标志,Related party of the bank or not
PTY000309,经营项目名称,Business Project Name
PTY000310,经营场所,place of business
PTY000311,经营场所性质代码,The nature of business place
PTY000312,年营业额（元）,Annual turnover
PTY000313,高校名称,Name of University
PTY000314,院校类型代码,Type of educational institution
PTY000315,院系名称,Department name
PTY000316,专业名称,Major name
PTY000317,学生证编号,student ID
PTY000318,入学时间,date of start school
PTY000319,工作类型代码,Type of work
PTY000320,与客户关系代码,Relationship with personal customer
PTY000321,关系人名称,Name of related person
PTY000322,与借款人共同经营标志,Joint operation with the borrower or not
PTY000324,参加社会保险标志,hold social insurance flag
PTY000325,个人每月交纳社保金额,Monthly social insurance payment
PTY000326,缴纳公积金标志,Whether to pay provident fund
PTY000327,个人每月交纳公积金金额,Monthly payment of accumulation fund
PTY000328,数量,quantity
PTY000329,购置价值,Purchase price
PTY000330,购置年月,Date of purchase
PTY000331,资产状态代码,Asset status
PTY000332,有共有人标志,Co owner or not
PTY000333,财产共有人,Name of co owner
PTY000334,总价值,Total value
PTY000336,出租标志,Rent or not
PTY000337,租金收益（元/年）,Annual rental income
PTY000338,银行/联社名称,Bank name of loan
PTY000339,他行贷款余额,Other bank loan balance
PTY000340,其他负债金额,Amount of other liabilities
PTY000341,其他负债账龄,Account age other liabilities
PTY000342,对外担保编号,External gur No.
PTY000343,对外担保金额,Amount of external gur
PTY000344,对外担保余额,External gur balance
PTY000345,逾期次数,Number of overdue periods
PTY000346,逾期金额,Amount of overdue principal
PTY000347,逾期余额,Overdue balance
PTY000348,配偶逾期次数,Number of spouses's overdue
PTY000349,配偶逾期金额,Overdue amount of spouse
PTY000350,配偶逾期余额,Spouse's overdue balance
PTY000351,个人月均工资收入,Average monthly salary
PTY000352,个人月均经营收入,Average monthly operating income
PTY000353,个人其他收入,Average monthly other income
PTY000354,其他收入说明,Description of other income
PTY000355,个人月均收入,personal customer monthly income
PTY000356,个人月均总支出,personal monthly average total expenditure
PTY000357,个人可支配收入,Personal disposable income
PTY000358,家庭月均总收入,Total monthly average household income
PTY000359,家庭月均生活费用支出,Monthly family living expenses
PTY000360,家庭月均赡养支出,Monthly family support expenditure
PTY000361,家庭月均还款支出,Monthly household repayment expenditure
PTY000362,家庭月均其他支出,Monthly other household expenses
PTY000363,其他支出说明,Description of other expenses
PTY000364,家庭月均总支出,Total monthly average household expenditure
PTY000365,月均家庭可支配收入,Average monthly household disposable income
PTY000366,家庭对外担保总金额,Total amount of family external gur
PTY000367,家庭资产负债比率,Household asset liability ratio
PTY000368,家庭或有负债比率,Proportion of family contingent liabilities
PTY000369,家庭收支比率,Household income and expenditure ratio
PTY000370,工作年限,Years of working
PTY000371,车辆价值,Vehicle value
PTY000372,农业机械价值,Value of agricultural machinery
PTY000373,牲畜价值,Livestock value
PTY000374,其他资产,Value of other assets
PTY000375,其他负债,Other liabilities
PTY000376,种植收入,Planting income
PTY000377,养殖收入,Breeding income
PTY000378,经商收入,Business income
PTY000379,工资性收入,Wage income
PTY000380,财产收入,Property income
PTY000381,经营费用支出,Operating expenses
PTY000382,为信用户标志,Credit or not
PTY000383,个人月度还款金额（元）,Monthly repayment amount
PTY000384,月度还款金额占个人月收入比,Ratio of monthly repayment amount to personal monthly income
PTY000385,月度还款金额占家庭月收入比,Ratio of monthly repayment amount to monthly household income
PTY000386,月债务支出占月度收入比,Ratio of monthly debt expenditure to monthly income
PTY000387,风险分析,Risk analysis
PTY000388,风险原因,Risk reasons
PTY000395,合作方客户编号,Cooperation customer number
PTY000396,合作方名称,Cooperation customer name
PTY000397,合作方类别代码,Cooperation customer Category
PTY000398,合作项目类别代码,Cooperation project Category
PTY000399,合作额度类型代码,Type of cooperation quota
PTY000400,担保责任代码,Liability to guarantee
PTY000401,共享范围代码,Scope of sharing
PTY000402,楼盘建筑总面积,Total Gross Floor Area of the building
PTY000403,投资方式代码,Mode of investment
PTY000404,经营概述,Business overview
PTY000405,认缴出资金额,The amount of capital contribution subscribed
PTY000406,实缴出资金额,Amount of paid-in funds
PTY000407,从事行业经验,Engaged in industry experience
PTY000408,经营期限,Operating period
PTY000409,从业年限,Entire period of actual operation
PTY000410,命中公检法标志,Whether to hit the Public Prosecution Law
PTY000411,黑名单标志,Blacklist flag
PTY000412,对外投资企业证件类型代码,Investee's ID certificate type
PTY000413,对外投资企业证件编号,Investee's ID certificate number
